caller;recipient;dt;duration
+79047886119;+79047886119;2020-04-16 14:52:26;792
+79663826885;+79524876551;2020-01-14 00:41:58;731
+79261589939;+79673456568;2020-05-02 02:21:43;59
+79235643827;+79305747938;2020-04-28 05:46:37;139
+79633270585;+79586348704;2020-01-31 18:23:29;802
+79813008149;+79283775797;2020-01-24 13:21:59;340
+79424809349;+79152697212;2020-04-06 02:46:22;612
+79660953259;+79955449174;2020-04-19 20:45:25;422
+79013743431;+79699925860;2020-01-29 01:34:07;272
+79477152666;+79817609499;2020-01-15 04:24:07;931
+79712483058;+79286095628;2020-01-08 08:34:54;-1
+79871357830;+79159121272;2020-04-18 16:42:23;723
+79110903456;+79785570693;2020-03-05 06:58:18;205
+79696429332;+79906226733;2020-02-15 04:29:56;258
+79932907826;+79848820681;2020-01-23 18:38:24;328
+79447324401;+79696429332;2020-03-09 19:23:44;894
+79648026276;+79487305727;2020-04-02 04:44:40;616
+79219775531;+79926444889;2020-02-08 23:18:13;174
+79975889517;+79960813237;2020-03-03 05:58:01;46
+79159121272;+79182394133;2020-01-07 05:09:03;892
+79264808473;+79412045716;2020-02-02 00:04:28;954
+79598685303;+79986051879;2020-02-01 16:30:07;491
+79887691115;+79130522335;2020-01-29 18:15:02;265
+79359217534;+79336781617;2020-05-10 04:40:42;696
+79626551982;+79665470635;2020-01-18 03:07:24;-2
+79221477722;+79359493630;2020-04-19 18:28:14;-2
+79766364851;+79505911293;2020-03-17 15:56:15;149
+79747983853;+79906226733;2020-05-22 11:53:20;86
+79926444889;+79808425823;2020-04-21 21:57:45;931
+79633270585;+79207211627;2020-05-04 04:25:00;-1
+79037543304;+79956785183;2020-05-16 23:20:49;44
+79752429113;+79094666319;2020-03-13 07:42:24;-1
+79489005245;+79137376844;2020-05-19 03:30:40;747
+79902196007;+79140392970;2020-01-30 10:44:34;951
+79914976048;+79580560086;2020-01-15 16:06:03;-2
+79336781617;+79663826885;2020-02-18 04:37:13;-1
+79188759063;+79980275762;2020-03-13 21:03:50;526
+79906189997;+79207523013;2020-03-11 01:01:24;-2
+79065688312;+79176303690;2020-04-05 06:59:02;282
+79424809349;+79221139318;2020-01-14 02:44:20;134
+79785570693;+79986215360;2020-02-16 08:57:06;96
+79261435570;+79896166873;2020-02-15 02:28:05;398
+79887691115;+79286644224;2020-04-13 19:16:32;497
+79954659313;+79026152705;2020-03-31 21:09:58;231
+79096613312;+79480506353;2020-02-13 06:03:42;-1
+79967435327;+79878847274;2020-05-02 18:41:15;768
+79948925259;+79573414652;2020-05-30 03:25:16;447
+79962088970;+79794344500;2020-03-05 00:12:10;-1
+79606086738;+79848820681;2020-04-19 05:14:51;362
+79505972262;+79054221543;2020-05-17 15:55:36;883
+79400989298;+79122841287;2020-01-06 12:59:29;211
+79441072193;+79628289534;2020-04-05 23:14:48;288
+79221139318;+79098173539;2020-03-14 09:19:54;-2
+79486904218;+79083030674;2020-04-15 19:37:47;349
+79097661017;+79740478483;2020-05-18 11:01:59;590
+79082027467;+79047886119;2020-01-19 05:16:12;-2
+79721573398;+79523139377;2020-02-12 18:54:31;503
+79887691115;+79382870864;2020-05-05 20:10:36;373
+79341732226;+79880977698;2020-01-11 22:32:20;815
+79570457507;+79577589431;2020-01-01 22:47:05;7
+79580560086;+79681839690;2020-05-23 19:01:20;875
+79331708009;+79797161012;2020-05-12 10:19:44;641
+79697402495;+79275584616;2020-05-24 05:02:11;752
+79880977698;+79926444889;2020-03-25 11:13:50;610
+79522674940;+79359217534;2020-04-18 13:38:41;804
+79866911726;+79357369448;2020-01-30 05:27:20;445
+79148864251;+79980102359;2020-01-01 12:42:03;983
+79015470564;+79182394133;2020-02-29 15:41:06;-1
+79176303690;+79880675713;2020-04-07 20:58:06;431
+79291708826;+79318886864;2020-02-28 01:20:01;-1
+79740478483;+79498453872;2020-01-28 06:21:11;90
+79336781617;+79916830644;2020-05-15 05:32:09;383
+79173322577;+79086392509;2020-02-11 11:14:59;751
+79318886864;+79680691275;2020-03-06 15:12:04;883
+79987655975;+79261589939;2020-04-14 19:53:57;663
+79452468189;+79914976048;2020-02-01 09:26:27;296
+79955449174;+79286644224;2020-03-27 22:03:07;793
+79341732226;+79066028576;2020-01-04 09:15:31;328
+79987655975;+79451974866;2020-02-01 15:18:39;-1
+79573414652;+79870237946;2020-01-25 22:44:57;633
+79986215360;+79954659313;2020-04-22 04:27:46;971
+79944966369;+79948925259;2020-01-17 14:26:34;911
+79945802865;+79901986584;2020-01-19 00:17:47;-2
+79355756271;+79058054767;2020-04-02 12:33:02;865
+79137376844;+79210243119;2020-01-06 05:59:51;494
+79094131378;+79819376145;2020-05-15 19:02:51;70
+79086392509;+79256770908;2020-03-14 00:14:12;141
+79896166873;+79032874068;2020-01-18 22:06:58;364
+79110903456;+79329654975;2020-01-06 17:52:20;-2
+79398024564;+79827873183;2020-04-16 18:24:54;-2
+79858429808;+79091469024;2020-02-02 03:53:02;691
+79864088078;+79960813237;2020-02-25 22:49:01;616
+79983853744;+79929595597;2020-03-07 01:27:52;943
+79083030674;+79505972262;2020-03-18 09:37:48;348
+79717894676;+79871556516;2020-02-26 18:24:50;236
+79644433807;+79819376145;2020-04-03 14:09:46;29
+79656190881;+79381958936;2020-01-05 01:47:52;672
+79173322577;+79952081307;2020-01-22 10:02:43;325
+79090060130;+79662032108;2020-05-01 06:53:46;343
+79743830987;+79211341670;2020-02-07 13:27:07;955
+79652271658;+79902196007;2020-05-24 20:09:23;-1
+79266151534;+79954659313;2020-04-07 22:00:14;112
+79473584346;+79052896271;2020-02-28 14:59:59;797
+79906189997;+79098173539;2020-03-08 18:47:22;730
+79648026276;+79209635425;2020-01-19 01:01:44;743
+79267757119;+79209635425;2020-02-11 18:02:55;-1
+79318886864;+79515819950;2020-01-31 09:57:14;171
+79979138128;+79799884052;2020-02-25 01:07:53;-1
+79274194203;+79961331024;2020-01-29 12:22:48;555
+79695733207;+79960813237;2020-01-09 08:13:14;905
+79217776975;+79209253134;2020-01-08 09:53:58;128
+79176303690;+79737705733;2020-05-01 05:51:33;319
+79319654713;+79687031290;2020-02-23 16:47:16;969
+79980275762;+79235643827;2020-04-18 16:21:50;839
+79970343873;+79256770908;2020-03-25 02:15:29;773
+79832921923;+79680691275;2020-03-14 00:42:17;-2
+79813400347;+79813008149;2020-04-26 23:41:34;772
+79044321363;+79208784399;2020-02-27 00:29:31;649
+79929595597;+79513712192;2020-05-09 14:08:26;-2
+79743830987;+79171149666;2020-02-06 20:12:55;531
+79113618278;+79590518050;2020-03-29 00:37:18;7
+79058572211;+79868672152;2020-05-24 05:33:45;479
+79896166873;+79176303690;2020-03-07 13:08:48;-2
+79695733207;+79256770908;2020-01-24 18:37:03;454
+79906189997;+79987655975;2020-01-04 07:20:38;864
+79173322577;+79163377741;2020-05-21 19:14:23;292
+79066827133;+79013743431;2020-01-15 02:51:20;76
+79901986584;+79267757119;2020-03-26 16:42:13;189
+79074614693;+79794344500;2020-04-04 14:29:02;378
+79235191373;+79848820681;2020-04-13 02:50:37;18
+79987108316;+79052896271;2020-01-29 14:56:56;671
+79329518317;+79955195228;2020-02-03 19:22:37;192
+79253110192;+79645083008;2020-05-08 10:39:01;-2
+79113449774;+79847387615;2020-04-01 05:44:27;289
+79090060130;+79472980535;2020-05-13 00:44:15;273
+79235643827;+79389160254;2020-05-12 00:46:08;-2
+79895835760;+79995750441;2020-05-14 05:34:27;286
+79316033174;+79235643827;2020-05-22 05:55:59;754
+79267285698;+79889861254;2020-03-27 11:03:27;905
+79748939206;+79858429808;2020-03-09 19:37:16;60
+79113187342;+79267057194;2020-04-24 13:47:56;567
+79391656982;+79709796352;2020-05-09 09:39:24;747
+79657139198;+79487305727;2020-04-12 06:31:31;137
+79536661498;+79080373662;2020-02-07 23:57:18;615
+79514451156;+79471704590;2020-02-28 08:11:22;943
+79644433807;+79831336961;2020-05-05 08:02:55;992
+79557850912;+79515819950;2020-03-12 22:50:58;74
+79381958936;+79241167134;2020-03-06 02:18:40;-2
+79219775531;+79997463702;2020-01-08 13:58:17;513
+79660286108;+79940666226;2020-01-28 04:07:27;-1
+79269739830;+79013743431;2020-03-27 18:49:32;482
+79901996020;+79731568994;2020-05-22 16:10:24;80
+79654178456;+79994325594;2020-03-26 12:15:13;289
+79211341670;+79261435570;2020-01-27 04:16:43;380
+79505911293;+79486904218;2020-02-22 20:44:21;606
+79317235687;+79960813237;2020-01-15 18:36:42;102
+79212087143;+79558589518;2020-04-25 06:34:42;204
+79050148508;+79090689603;2020-02-09 16:36:31;918
+79704939239;+79717894676;2020-02-13 23:44:13;800
+79013483459;+79249707909;2020-01-06 00:32:43;735
+79602587005;+79777755232;2020-02-04 01:39:16;22
+79709796352;+79692861255;2020-01-07 05:50:59;81
+79970343873;+79901986584;2020-02-09 00:46:15;206
+79741634772;+79122841287;2020-03-26 06:44:30;396
+79654178456;+79037543304;2020-01-27 12:55:09;689
+79463220045;+79625140868;2020-05-24 08:46:33;231
+79750149565;+79563201410;2020-01-16 14:32:22;71
+79163377741;+79094131378;2020-04-14 21:05:35;-1
+79066160759;+79621745227;2020-03-22 20:24:29;766
+79834130783;+79914976048;2020-05-10 11:11:00;295
+79192527940;+79827873183;2020-04-07 08:33:18;-1
